File Reference No:,Date (YYYY-MM-DD),Start Time,End Time,Work Particulars,Handling Partner
2013-078,2020-03-29,12:45 PM,02:05 PM,Prepared and sent the Inventory/Reconciling the court records for Restrivera,IDF
2013-131,2020-03-30,01:30 PM,03:15 PM,Prepared the Siemens Law Updates - DOE,JRS
2013-131,2020-04-01,09:30 AM,10:05 AM,Prepared the Siemens Law Updates - DDB,JRS
2013-131,2020-04-01,10:54 AM,11:12 AM,Prepared the Siemens law Updates - DENR ,JRS
2013-131,2020-04-01,11:20 AM,01:30 PM,Prepared the Siemens Law Updates - DOH and FDA,JRS
2013-131,2020-04-01,02:30 PM,03:30 PM,Prepared the Siemens Law Updates - IATF,JRS
2013-131,2020-04-05,05:00 PM,05:45 PM,Made revisions to the Law Updates ,JRS
2013-131,2020-04-07,01:48 PM,04:20 PM,Finalized the Siemens Law Updates Batch 10 and sent to Atty. Tuliao,JRS
2014-083,2020-03-18,02:30 PM,02:50 PM,Sent an email to Chevron (Atty. Dumayas) about the extension of deadlines for the Court,MCM
2019-162,2020-03-23,08:30 AM,08:50 AM,Prepared and sent an email to Julius Dunton about the Reply to the Comment/Opposition,AGS
2019-162,2020-03-29,10:58 AM,11:15 AM,Prepared and sent an e-mail response to Julius Dunton on possible arguments for the Reply,AGS
2019-162,2020-03-30,11:30 AM,11:50 AM,Prepared and sent a response to Julius Dunton about the possible settlement figure,AGS
2019-162,2020-04-03,07:50 AM,08:50 AM,Prepared the Motion to Admit Reply Ad Cautelam,AGS
2019-162,2020-04-05,09:00 AM,03:45 PM,Prepared the Reply to the Comment/Opposition to the Motion to Dismiss,AGS
2019-162,2020-04-06,04:50 PM,04:55 PM,Sent the draft Motion to Admit and Reply to Julius Dunton,AGS
2019-203,2020-03-18,07:30 AM,07:50 AM,Prepared and sent an email to Charlie Robin of Clyde and Co. regarding estimated proposal for settlement,AGS
2019-203,2020-03-20,09:00 AM,09:20 AM,Prepared and sent an email reply to Charlie Robin of Clyde and Co. about the possible offer during mediation,AGS
2020-019,2020-03-24,02:00 PM,03:00 PM,Telecon with internal team of PMFSL,RSS
2020-019,2020-03-25,09:00 AM,10:00 AM,Telecon with EHS team of GSK,RSS
2020-019,2020-03-25,10:00 AM ,10:45 AM,Telecon with HR team of GSK,RSS
2020-019,2020-03-25,11:00 AM,11:30 AM,Telecon with Quality team of GSK,RSS
2020-019,2020-03-25,01:30 PM,03:30 PM,Telecon with all teams of GSK,RSS
2020-019,2020-03-26,02:10 PM,02:20 PM,Called FDA but no answer to inquire about suspension of deadlines for renewal of CPRs; Sent email to info@fda.gov.ph,RSS
2020-033,2020-04-08,07:30 PM,09:10 PM,Revised the documents for the ABHP Increase in ACS,MCM
